Video ID,Title,Upload Date,Raw Duration,Duration in S,View Count,Like Count,Comment Count
kBF-QMtCdsY,Peking Brisket,2024-04-01,49S,49,1036537,70731,256
KbXElPzIW7g,Tomahawk Biggie Mac @albert_cancook,2024-03-18,31S,31,7127166,428732,1167
BxqTHHAAmkQ,The most important meeting of my life…,2024-03-12,1M,60,2033087,153332,407
8Wofo0Pyt4o,Crème Brûlée Pork Belly Burnt Ends,2024-03-04,46S,46,9240157,383207,1837
whs9OexwT5o,“Well Done” Wagyu A5 😳,2024-02-29,36S,36,3780266,253467,1365
MO1u9sjNlio,What should I call this?,2024-02-28,9S,9,1936047,80158,2968
p0nwjMREcTs,A special batch of jerky…,2024-02-25,26S,26,3584226,167919,1129
NGrLLf_QMGc,Deep Fried Pork Belly Accordion,2024-02-22,22S,22,2127467,120257,551
reUbPP1a0_c,30 Day Dry Aged Buffalo Brisket,2024-02-20,53S,53,6969583,459149,581
AQJFGq1DEfY,I caught her cheating on Valentine's Day...,2024-02-14,45S,45,22076822,1156695,6070
KxM-5_FqIBM,This was actually raw...,2024-02-13,28S,28,3130456,171045,1604
PEbdJgWoZ8w,Impress your valentine with…,2024-02-11,29S,29,5430137,398848,1401
seEcFZGgtek,Crispy Skin Buffalo Chicken Dip,2024-02-08,45S,45,4113160,313821,761
LZwkkuEedDM,World's biggest corn dog… meat sticks live at maxjerky.com!,2024-02-06,22S,22,7160963,173859,1104
LhcdE6mJWX4,She asked me to catch a fish...,2024-02-04,26S,26,1637394,90423,533
O4ho8IOpmas,Mango Habanero Pork Belly Twists,2024-02-01,24S,24,1363983,82921,246
3eGqirz2P7Y,Best “juicy” comment wins...,2024-01-25,9S,9,2708010,118795,4949
0_SdRI7NdMw,Homemade Wagyu A5,2024-01-24,36S,36,3271584,217055,704
5HYPRF8ZPqQ,Cooking a Prime Rib in 10lb of MSG,2024-01-12,54S,54,6791057,475766,3382
T33JUBAig3c,NYE King Crab Round 2,2024-01-08,1M,60,11868112,738030,3084
n_-5Tob_EJQ,24k Gold Dry Aged Ribeye,2023-12-31,47S,47,1620177,100727,552
Wg3-dP4UGcE,My Brothers Industrial Bakery,2023-12-27,54S,54,4007650,283335,639
IwCzubRup54,Chili Crisp Injected & Dry Aged Ribeye,2023-12-19,34S,34,5361185,319766,599
ExQrrKffaK8,Deep Fried Prime Rib,2023-12-18,34S,34,1998104,122425,394
Jg5yjQrY-t8,Not Your Average Chicken Bacon Ranch,2023-12-16,19S,19,2900018,175887,553
Cq-qGAcChRM,Steak & Happy Potatoes,2023-12-16,36S,36,3574778,245113,789
pYwoOxWndls,Car Cooking: Wagyu A5 Big Mac @itsQCP,2023-12-13,40S,40,12243329,721355,880
PgW60Xw7f60,The Perfect Prime Rib,2023-12-11,46S,46,911936,66366,545
cC2d8zjCZPA,The Pizzaball Sub,2023-12-07,36S,36,648005,42562,327
GvWa-N_IWIE,I accidentally made pink short ribs…,2023-12-03,42S,42,2721368,182082,529
JX0_STmuigQ,I Marinated Short Ribs for 10 Days...,2023-11-28,47S,47,2203578,162179,417
8eCovKu12h4,What I ate in China,2023-11-26,51S,51,4461325,318715,1152
MchzmS7qu7A,Wagyu A5 Steak Accordion,2023-11-24,1M,60,4794882,321560,947
xNMTeHu8R8w,Deep Fried Turkey,2023-11-19,36S,36,7837338,509584,1166
jpqMxSKk1BQ,How to Smoke Meat INDOORS,2023-11-16,33S,33,7719752,507324,2070
0owVfqYgaJg,Beef vs Tofu,2023-11-11,20S,20,6541385,411023,3958
z9hiA5fhCOU,The worst cooking appliance of all time...,2023-11-10,14S,14,5899208,389866,1310
GWDUG2UnSjw,A Plate of Bacon (literally),2023-11-04,29S,29,6328754,355990,1242
v5SdCKWQM3I,Cooking Brisket in 10lbs of Salt,2023-11-01,1M,60,25486307,1365516,4731
FoEfFtdwEgc,The Cheapest Wagyu A5 I Could Find...,2023-10-27,38S,38,4728377,287567,679
_LmRrKu401s,Filet mignon... like a brisket?,2023-10-24,49S,49,11901709,633773,1777
Twk0OmkN2gE,A peace offering...,2023-10-20,1M,60,13326326,895152,2473
X3ZfD7W1-cw,Is it Flatbread or Pizza?,2023-10-18,49S,49,8873653,510217,2707
KRspJcpai-Y,When an old man gives you a chicken...,2023-10-10,1M,60,2806135,225357,792
W9rsY4QG2NY,Don't Make Promises You Can't Keep...,2023-10-02,1M,60,56169284,2622616,6370
avhcZ6Iuv2w,Wagyu Tallow Dry Aged Lamb Shoulder,2023-09-28,52S,52,13901684,816068,2015
6ynfeCAzr0U,Garlic Confit Cowboy Butter,2023-09-20,29S,29,4071980,306817,549
fztZ-oIXQMk,Chicharron Charcuterie Board,2023-09-11,41S,41,14953584,849925,3369
wLyQXLeXdc8,McDonald’s Beef Jerky,2023-09-10,35S,35,2788111,186494,568
WkMPySeHKGY,Rib Cap Wellington… Gordon’s not going to be happy,2023-09-02,40S,40,1888660,126178,749
YYfB_R2TjLI,The World's Most Expensive Beef Jerky,2023-08-29,37S,37,2803058,228748,969
bf-Nksvtiww,She Wanted Raw Lobster...,2023-08-22,30S,30,17143434,660533,6680
KujgczNVy_Q,Dry Aged Fish Catch & Cook,2023-08-18,1M,60,2419609,202431,616
tIkCThaR4fc,Seafood Feast on a Malaysian Fish Farm,2023-08-04,44S,44,1275217,94169,638
mDw6gUIdOQs,I Cooked a Wagyu Picanha Like a Brisket,2023-08-03,30S,30,5494944,301144,946
s_CMAhCEc5g,Candied Bacon Salmon Board,2023-07-31,54S,54,6660642,368735,1544
pu9hyOkfV5c,Grow a Weenie,2023-07-23,19S,19,196823816,3108860,4950
BtkpYb__JG4,Picanha Chip,2023-07-22,40S,40,10134168,652132,4150
0kGtpQpRPRU,Worlds Biggest Rack of Ribs,2023-07-21,32S,32,3792113,257981,1345
IiChHK-mzeo,Can I move to FL before my meat defrosts?,2023-07-20,54S,54,8574432,618656,3142
f4k7ZB64YH8,I Turned Salmon into Cotton Candy,2023-07-17,26S,26,3079467,182672,1086
hl4hDyMBVvA,Dry Aged Buffalo Chicken,2023-07-16,44S,44,41298527,2078532,4020
i2xKkIQ8eNU,"Best ""it's raw"" comment wins",2023-07-14,10S,10,9334904,477690,37020
jsrkJNd7bno,How Chicken Jerky is Made,2023-07-13,45S,45,2552485,170326,800
E9kgHa6wh-k,Lobster Cheese Dog,2023-07-01,40S,40,7225133,442816,2040
weO4irlRYuw,Chili Crisp Dry Aged Duck,2023-06-24,44S,44,3972796,276745,1318
yYLLFEvvaH4,Forbidden Dorito Pt 2,2023-06-20,15S,15,6607029,349640,1356
Hb63L9YPyZg,Steak School: Picanha,2023-06-16,44S,44,5199667,305620,989
JqNNYKSEVeE,Fresh vs Dry Aged Duck,2023-06-14,45S,45,5552570,359817,887
uLhAzMppX5A,Chicharron Crunch Wrap,2023-06-08,28S,28,6388086,301372,1368
swTdBdJC1L4,My Biggest Regret,2023-05-21,1M,60,45776282,2556110,7798
GnjVV-Dl-LI,I Turned Pork Into Cotton Candy,2023-05-15,43S,43,3194714,202872,1226
3mppFmB_HSA,"1,000 Pounds of Bacon Jerky",2023-05-10,49S,49,11028453,513344,2466
aP_7yKOk6Ok,A Very Average Steak (Sierra Steak School),2023-05-05,26S,26,13180019,817051,2234
tX0ZMeEkXGg,My Professional Fishing Career,2023-05-04,1M,60,6195846,451685,1170
8g6-d57Y7xE,I Cooked a Furry Steak,2023-05-02,37S,37,5561242,393401,4722
IvaUCK4IxAE,"$10,000 Dry Aged Tuna",2023-04-28,37S,37,4369470,293922,963
s486nYbO80Y,The Steak Review: Joshua Weissman’s Steak House,2023-04-25,53S,53,4333261,274608,647
NP0kQndK4Fw,Wagyu A5 Spam,2023-04-16,1M,60,16684497,835238,2680
Ij-scaFkBrI,The Budget Friendly Tomahawk,2023-04-10,24S,24,21861287,965099,4995
AwgwwNQpvuw,The Half Cow Beef-Chetta,2023-04-07,53S,53,4034727,285798,1861
haIUqAmKqzo,Can You Guess This Cut?,2023-04-05,9S,9,1841114,80988,1562
rlRPQqKyICY,The Best BBQ in KC is From Texas,2023-04-03,34S,34,7152143,415381,1993
CkqxjtEyK7I,I Feel Like a Traitor,2023-04-03,34S,34,1752367,109915,483
UMUL5zvfpuw,“I Can’t Believe It’s Not a Ribeye” (Steak School),2023-04-01,24S,24,1522214,108657,244
ZeDEaNJzAl8,How Kansas City Thai BBQ is Made,2023-03-28,34S,34,1546293,94184,348
czQhfN6PEcY,The Craziest Meat Feast of My Life,2023-03-27,47S,47,1084324,69714,336
i-xJWp2cfww,The Filet Mignapple,2023-03-25,13S,13,32261048,1097018,4585
iaH_z2raAPY,The Pineapple Mignon,2023-03-25,14S,14,6321086,330164,3595
5vOGbM3cBJw,My Third Favorite Steak (Steak School),2023-03-24,26S,26,2810390,213780,429
FZLNlhOgp6U,I Soaked a Ribeye in Coffee for 24hrs Then Dry Aged It,2023-03-14,42S,42,6761117,439649,1981
4nmr6geoGHI,Wasabi Crusted Toro Taco @valentinetb1,2023-03-09,28S,28,1857968,103693,534
v1Yv8fS78bc,Cooking a Brisket Like a Steak,2023-03-06,48S,48,31956478,1646446,2836
XA1auynQxQI,I Cooked Salmon on a Deserted Island,2023-03-03,59S,59,7658143,565084,2573
n3ixz8Fgw1c,How Alaskan Salmon Gets on Your Plate,2023-03-02,44S,44,1850388,142881,298
QHlN4nte57Q,First Class Airplane Food Review: Worth It?,2023-03-01,49S,49,11411019,726346,3670
_K263qh9vyg,"$1 vs $1,000 Wine Taste Test",2023-02-24,46S,46,2940316,231328,683
35hGDDyKiu0,"I Covered Briskets in Relish, Ketchup, Mayo and Mustard",2023-02-22,47S,47,23085424,1359761,3522
1cPXvVxxckc,Worlds Hottest Dry Age (9 Million Scoville),2023-02-18,55S,55,10983193,770848,2083
_Jev7bXNjyc,Brisket vs Tofu,2023-02-14,20S,20,39174570,1926332,16554
HTpzWqMD45o,I Soaked a Ribeye in Whiskey for 24hrs Then Dry Aged It,2023-02-10,42S,42,50757085,2366188,9088
8hHkdPDALiU,The Rarest Steak I’ve Ever Cooked,2023-02-09,27S,27,21905354,1069844,3177
oB8clo4UMEs,I Ate a Freezer Burned Steak,2023-02-08,42S,42,15035771,926572,1756
4e7LQOgLSCo,We Out-Pizza’d the Hut @ryancantcook,2023-02-07,23S,23,22258816,1022912,3980
vv48rmFo3lQ,She Didn't Let Me Eat the Filet-O-Fish...,2023-02-06,26S,26,3215291,173090,667
zqMMm47977g,Dry Aging Turned This Steak Grey...,2023-02-04,44S,44,3514876,230521,463
GAMY4Hp6s2A,"Best ""it's raw"" comment wins pt. 4",2023-02-03,10S,10,26401696,588377,41536
H84MZlCK9TE,Best Lamb I Ever Had,2023-02-02,44S,44,1764586,130422,463
LcNNEZ9i-QA,$300 New Years King Crab,2023-02-01,49S,49,13421304,861363,2593
N0UVzw1W_Mw,Brisket Stuffed Prime Rib,2023-01-20,48S,48,6269204,397049,1033
lzapLX2bH3o,Scallop Pasta ft. @itsQCP,2023-01-11,42S,42,5621781,402706,1018
0zlG1Knt6ZA,Steak Battles: Max vs Peter Luger,2023-01-07,43S,43,4582762,287241,903
ZYjGfbTH4N0,The Steak Review: Peter Luger Steak House,2023-01-06,42S,42,5208056,282777,1487
nhmAAy0HYpA,Dry Aged vs Dry Brined vs Wet Brined PULLED PORK,2022-12-30,1M,60,9511072,688388,1276
scv7vniJ0wg,Dry Aged Pulled Pork,2022-12-29,39S,39,1447086,119558,346
i3h3uNbgBhE,Dry Aged BRISKET Bacon BLT,2022-12-27,50S,50,4095419,303572,985
RwTq-5tIcl0,How to Trim a Dry Aged Brisket,2022-12-26,33S,33,1851622,113792,184
r6cv2JCiLnw,The Perfect Prime Rib,2022-12-22,59S,59,5286245,335974,2202
b5RmtXKODPo,Brisket Bread (made with ChefsTemp),2022-12-15,46S,46,8312044,613425,1516
yrFDWPJF4bs,I Soaked a Ribeye in Wine for 24hrs Then Dry Aged It,2022-12-14,52S,52,23961971,1450111,3380
ZLopuHdqjBc,The Worlds Most Underrated Steak,2022-12-08,40S,40,10922873,693318,2023
cDseYSjGYIc,15 Day Marinated Brisket,2022-12-07,47S,47,45226516,2470957,3420
zvktSuKszqk,Short Rib Challah Bao,2022-12-07,43S,43,1735509,116978,668
z5GPq_pkbR0,Elk Loin Cooked Inside of Salt,2022-11-30,46S,46,26381374,1376266,6803
SplCbOj2aTI,What it was like celebrating holidays in China,2022-11-25,1M,60,4066234,404300,931
aSVEV2EmHG8,“The cutest thing you ever made” - My sister,2022-11-22,40S,40,1904991,143170,640
SYyIbvTD2e8,The Perfect Thanksgiving Turkey,2022-11-21,1M,60,5469692,345900,1323
OoTiTqf7eZc,Not Your Average Turkey… (Peking Turkey),2022-11-19,44S,44,6147382,502451,1740
-RG6rob2cNQ,How to carve a Turkey 🦃,2022-11-18,31S,31,5604821,349918,644
xCbATMWcb1g,Cooking a FROZEN Steak,2022-11-16,52S,52,32350393,1467211,3799
cNJteplOcNI,Wagyu Tallow Dry Aged Prime Rib,2022-11-15,46S,46,6681404,444275,1861
a4V3I_3JXac,The Ultimate Surf & Turf,2022-11-12,34S,34,2109266,144163,599
GGQUOD7K5nU,Dry Aged Roast Beef Sandwich Ft. @NickDiGiovanni,2022-11-11,31S,31,5839227,372719,1095
JZUKssceS00,APPLEWOOD Liquid Smoke + Coffee Dry Age Pt.3,2022-11-09,38S,38,2033562,173250,374
BDwni0c9zN4,Powdered Smoke Dry Age Pt. 2,2022-11-08,40S,40,4679585,358242,668
eHEd5XBr8wA,Cold Smoked THEN Dry Aged Ribeye Pt. 1,2022-11-07,45S,45,6501683,479254,892
AszOPmzcTmQ,Cooking Steak with a Chef in Alaska,2022-11-06,54S,54,3423816,285504,726
skL0m25Nj6Y,Dry Aged Alligator (Nashville Hot Gator Sandwich),2022-11-02,59S,59,14442497,926917,12054
7X3qCbSQhnY,I made my cats favorite food,2022-11-01,52S,52,9906416,753990,3019
3zypsd9C2sE,The Ultimate Triple Decker Burger,2022-10-31,49S,49,1708998,163307,836
fwEV4l_gUQE,Smoked Bourbon Marinated Brisket,2022-10-27,35S,35,1830899,157072,574
CKZN1IfYvC4,Wagyu Short Rib Hot Pocket,2022-10-26,40S,40,2114720,200144,505
PYm4q_L4bII,What I Used to Eat at Sleep Away Camp…,2022-10-25,1M,60,2624167,266911,568
Eu_OoXXhLVs,Duck Balls…,2022-10-24,39S,39,8027861,464090,7129
MQgoIhyc1Jo,The Brisket Baby,2022-10-23,8S,8,2252702,100579,821
vwnMpfPNyes,I Made Salmon Dumplings in Alaska,2022-10-22,50S,50,12918455,851207,5247
mqvSULs1a8Q,Smoked Beef Heart,2022-10-21,46S,46,3028569,275425,1401
cMf3YuR3JUE,The hardest job I ever had…,2022-10-18,1M,60,17071448,1320290,3430
8W8Au81_gTs,Best “it’s raw” comment wins…,2022-10-17,12S,12,33278680,1465579,102930
Oz6tS6TLs1o,Gochujang Sesame Dry Age,2022-10-16,48S,48,5626503,453562,1104
OBhEz6QjmoU,What I Ate in Alaska… but it keeps getting weirder,2022-10-12,48S,48,2380903,217812,1094
uo1E2vFhAO0,Pulled Pork Ice Cream,2022-10-03,43S,43,2469695,133559,618
EPudgBJ8uy4,“Meat” Balls (Rocky Mountain Oysters),2022-09-29,29S,29,12885886,438110,7311
SU8rvi4AzKM,Turned 30 so Made Beef Cheeks,2022-09-27,9S,9,1240396,82711,596
NPfS-7ma2gY,Beef Tongue Tacos,2022-09-22,39S,39,21177730,1073567,9395
LHYPFaQzttw,I Ate a Whole Pig (Bachelor Party Pig Pt. 3),2022-09-17,43S,43,9642910,469276,6063
7n1_9e2m-Uc,I Cooked a Whole Pig (Bachelor Party Pig Pt. 2),2022-09-16,1M11S,71,1002782,24763,1537
io5F83eFTkM,I Bought a Pig (Bachelor Party Pig Pt. 1),2022-09-15,58S,58,47057906,1867100,17939
qW8EYGkZLvc,The Steak Biggie Mac @albert_cancook,2022-09-08,33S,33,74499964,2892845,6076
KKkF70aah3s,Spicy King Crab Pasta @itsQCP,2022-09-02,37S,37,6071503,503515,1489
w1nmQjJMjg0,Rating Fast Food While Rescuing my Cat from China,2022-08-28,1M26S,86,136555,4444,296
dFh9heGhH_I,Wagyu Tallow Injected Beef Cheeks,2022-08-25,39S,39,7798393,570216,2927
wKbPJxkiq3c,Pulled Pork Cooked in Clay,2022-08-19,34S,34,3417312,248967,982
HvM5uz3s0BI,Grilled Branzino with Salmon Egg Beurre Blanc @hwoo.lee,2022-08-18,31S,31,4720301,326464,980
afKfHQ8TdtI,Chicken Cooked in Clay (Beggar’s Chicken),2022-08-17,43S,43,43319512,2286835,8842
J7MWMKAHTZQ,Chicken 🥪 with the sandwich king himself @owen.han,2022-08-12,56S,56,11684135,971721,1462
Z7kYMjQbCKg,Octopus,2022-08-11,31S,31,11651490,469464,1488
OHqc1Lp8lFU,Mahi Mahi Tacos,2022-08-10,52S,52,6747423,629038,1916
12DbLCBVIWw,Car Cooking: Max vs Buffalo Wild Wings,2022-08-09,53S,53,3019165,311750,728
gOlBrPXrFxA,Deconstructed Smoked Chicken,2022-08-02,37S,37,11664154,859968,2039
41HFHXmc8Ww,Lamb Brisket vs. Wagyu Brisket @GugaFoods,2022-07-28,31S,31,3724408,288439,691
vJUiXU4xLeQ,The Frankenstein Roast,2022-07-27,58S,58,16404689,1236464,4202
lkB_4ZPLPl8,The steak accordion (I did something bad),2022-07-25,42S,42,37303114,2541751,7538
dNbNPmxVuWQ,3 Chicken Wing Mistakes to Stop Making (#3 is game changer),2022-07-23,47S,47,4424613,387045,2150
pojfDzs5nU4,I suck at making spring rolls @LisaNguyen,2022-07-22,49S,49,6776086,534185,2762
ArpkopAmU9M,Seasoning a steak with the crust of another steak,2022-07-21,38S,38,34745598,2143761,9659
Q41FRd8mREk,Rare Japanese Knives (Korin Knife Shop),2022-07-20,46S,46,7853891,597842,1643
gFfU1RDESmM,I tasted the dry aged impossible meat…,2022-07-19,43S,43,43304677,2539249,13204
RwtaO62akC0,30 Day Dry Aged LAMB Leg,2022-07-07,1M31S,91,188007,7821,249
swNm2DvC5uE,Jumbo Chili Cheese Dog,2022-07-06,29S,29,323091287,5655170,23555
PJnb5spG7lU,Simple Crispy Pork Belly,2022-07-01,28S,28,6279529,336073,1833
H5RMhDvE7Yk,Wagyu A5 Beef Tartare Burger,2022-06-24,20S,20,15021985,739358,4043
Yv2ohC5f5mg,Dry Aged Salmon,2022-06-21,40S,40,16602431,1111011,2673
pyRZyE_yAPo,My Favorite Instant Ramen Recipe pt. 14,2022-06-18,58S,58,13168157,1043752,4256
xJIPlqTvUSk,I think Gordon hates me,2022-06-17,32S,32,24140060,1237500,7463
CJU6XUBr4gY,Black Garlic Dry Aged Ribeye,2022-06-16,33S,33,5617741,381184,1429
p812v2g5tvA,Popcorn Pork,2022-06-07,10S,10,68743160,2221642,19457
zPjZnPJ2K-o,4 Butter Basting Mistakes to Stop Making,2022-06-03,48S,48,30606190,1647500,3927
R2Fi2I6RSgk,Dry Aged Impossible (Vegan) Meat,2022-05-31,17S,17,13700238,690644,6477
YYFlLferi5o,Ghost Pepper Lamb Chops at Michelin Star Restaurant,2022-05-22,35S,35,2504636,177798,407
TAp87nKCX_E,Wagyu A5 Filet Mignon Tartare,2022-05-16,44S,44,13131610,773788,3302
9ZUDUG3Im_U,150 Day Dry Aged Spam,2022-05-11,26S,26,57908093,2799241,7316
dW9w97Afcws,Maple Habanero Pork Twists,2022-05-06,23S,23,17516293,730191,1435
DMChBhNr08g,The Holy Grail of Beef,2022-05-05,30S,30,6939425,436596,1642
2FWrcTLYegM,Whole Cod Fish and Chips 🐟,2022-05-03,48S,48,4313661,299536,1668
5TrcrM_ooiw,Tajin Tequila Dry Age,2022-05-01,52S,52,5260993,501535,1043
